epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,200428,0.23021,0.32194,0.12939,0.80447,0,0.99868,0.99992,0.99475,0.98485,0.99866,0.9999,0.99475,0.96095,0.17457,0.28104,0.08745,0.783,0,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,203428,0.23035,0.32266,0.12852,0.80451,0,0.99868,0.99992,0.99474,0.98485,0.99866,0.9999,0.99474,0.96092,0.17452,0.28093,0.08735,0.78298,0,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,206430,0.23046,0.32323,0.12858,0.80446,0,0.99868,0.99992,0.99474,0.98475,0.99866,0.9999,0.99474,0.96083,0.17445,0.28087,0.08718,0.78294,0,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,209437,0.23017,0.32251,0.12789,0.80486,0,0.99868,0.99992,0.99474,0.98479,0.99866,0.9999,0.99474,0.96087,0.17436,0.28071,0.08725,0.78297,0,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,212492,0.23001,0.32203,0.12851,0.80485,0,0.99868,0.99992,0.99474,0.98475,0.99866,0.9999,0.99474,0.96014,0.17417,0.28055,0.08713,0.78294,0,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,215630,0.23009,0.32277,0.12887,0.80493,0,0.99868,0.99992,0.99474,0.98472,0.99866,0.9999,0.99474,0.96002,0.17406,0.28049,0.08687,0.78289,0,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,220780,0.22973,0.32187,0.12815,0.80481,0,0.99868,0.99992,0.99473,0.98486,0.99866,0.9999,0.99473,0.96014,0.17407,0.28044,0.08694,0.7829,0,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,226722,0.22943,0.32167,0.12805,0.80393,0,0.99868,0.99992,0.99472,0.98484,0.99866,0.9999,0.99472,0.96091,0.17405,0.28039,0.08671,0.7828,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,232619,0.2296,0.32221,0.12767,0.8044,0,0.99868,0.99992,0.99471,0.98479,0.99866,0.9999,0.99471,0.96082,0.17398,0.28035,0.0867,0.78277,0,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,237529,0.22943,0.32168,0.12765,0.80462,0,0.99868,0.99992,0.99471,0.98477,0.99866,0.9999,0.99471,0.96055,0.17399,0.28029,0.08643,0.78277,0,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,240820,0.22999,0.32208,0.12891,0.80459,0,0.99868,0.99992,0.99472,0.98477,0.99866,0.9999,0.99472,0.96079,0.17399,0.28035,0.08642,0.78279,0,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,244039,0.22923,0.32213,0.12719,0.80459,0,0.99868,0.99992,0.99472,0.98475,0.99866,0.9999,0.99472,0.9609,0.17402,0.28027,0.08646,0.78278,0,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,247222,0.22944,0.32158,0.12777,0.80398,0,0.99868,0.99992,0.99473,0.98484,0.99866,0.9999,0.99473,0.9601,0.17395,0.28017,0.08625,0.78274,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,250413,0.22962,0.3217,0.1278,0.8041,0,0.99868,0.99992,0.99475,0.9849,0.99866,0.9999,0.99475,0.96022,0.17384,0.28007,0.08602,0.78274,0,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,255441,0.22896,0.32126,0.12766,0.8046,0,0.99868,0.99992,0.99475,0.98486,0.99866,0.9999,0.99475,0.96021,0.17372,0.28001,0.08605,0.78268,0,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,258554,0.22977,0.32195,0.12888,0.80443,0,0.99868,0.99992,0.99473,0.98485,0.99866,0.9999,0.99473,0.96014,0.17371,0.28001,0.08619,0.78263,0,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,261555,0.22979,0.32235,0.12829,0.80529,0,0.99868,0.99992,0.99476,0.98491,0.99866,0.9999,0.99476,0.96011,0.17358,0.27996,0.08597,0.78262,0,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
